intervals,technique,fold,horizon,cosine,rmse,er_pred,er_actual
75,nav,9,5,0.01561645814369439,3.161998082314825,5.81364153891236,4.5267389085736385
75,nav,0,6,0.0422277491111126,5.16912092246942,5.2209112289925965,4.397161664618012
75,nav,1,6,0.03844919471259722,4.709438860723857,5.555795592701248,4.8092273012354765
75,nav,2,6,0.017901471372648747,3.1934667888006665,5.52330624391066,4.721859584796138
75,nav,3,6,0.06868102190438985,6.650912235907187,5.244913708617433,4.3093610230777575
75,nav,4,6,0.025809617653325567,3.9026011365715974,5.619258191454124,4.528345036766333
75,nav,5,6,0.0326318550343514,4.394117841494271,5.901489332383367,4.670928556716118
75,nav,6,6,0.03578025708296584,4.625131844843505,5.862763172414845,4.545408870439585
75,nav,7,6,0.02599021175610683,3.607848461146704,6.419037758780958,5.032552500474465
75,nav,8,6,0.03701168634844931,4.984376573469613,5.3147004171339,4.104181457846501
75,nav,9,6,0.01886668837113048,3.3411889389376292,5.913391192262636,4.462647390687442
75,nav,0,7,0.042962706754121616,5.628926284035981,4.823760924361055,4.190335878175664
75,nav,1,7,0.04270178253287982,5.193938806333697,5.2573242300520695,4.397161664618012
75,nav,2,7,0.03802708070761163,4.69007902303191,5.5613024960969275,4.8092273012354765
75,nav,3,7,0.01821687250033166,3.2224463931152028,5.528708350843105,4.721859584796138
75,nav,4,7,0.06917240327375351,6.675554291575267,5.239918510088667,4.3093610230777575
75,nav,5,7,0.025554215497232136,3.887571205334149,5.613735355133265,4.528345036766333
75,nav,6,7,0.03123458822638303,4.314987521356025,6.171537248315784,4.670928556716118
75,nav,7,7,0.036362266843111724,4.664911849107367,5.862004342766834,4.545408870439585
75,nav,8,7,0.02618732538750068,3.6215791062709206,6.436197592178033,5.032552500474465
75,nav,9,7,0.03917641662857152,5.10402560740225,5.502346030993875,4.104181457846501
75,nav,0,8,0.021461233739111574,3.8453911807946577,4.952093720309697,4.4039336870562895
75,nav,1,8,0.0431356924576104,5.637400846648969,4.848212018476513,4.190335878175664
75,nav,2,8,0.04210312917640868,5.168936646651685,5.255426105854765,4.397161664618012
75,nav,3,8,0.03807298100846346,4.695327389094412,5.560108698833523,4.8092273012354765
75,nav,4,8,0.018731996346400992,3.268238453309621,5.543271350985496,4.721859584796138
75,nav,5,8,0.06774708588664335,6.61738264621442,5.241836522728969,4.3093610230777575
75,nav,6,8,0.025003301961150304,3.8563768698071343,5.972398561273454,4.528345036766333
75,nav,7,8,0.03072724149166184,4.291137068459136,6.164946923832869,4.670928556716118
75,nav,8,8,0.03722479459577188,4.718122136276185,5.878028209754478,4.545408870439585
75,nav,9,8,0.02642371586034531,3.6377639730349656,6.8429858026696335,5.032552500474465
75,nav,0,9,0.025184586255034058,3.746454620334033,5.513395978478532,4.727099647399969
75,nav,1,9,0.021628772684162856,3.856880397554039,4.98636221449051,4.4039336870562895
75,nav,2,9,0.04435589307680321,5.7083607900123665,4.847431928456489,4.190335878175664
75,nav,3,9,0.04223922229584032,5.180033042055318,5.261237851361488,4.397161664618012
75,nav,4,9,0.03851840997182154,4.723922158408853,5.583934743650559,4.8092273012354765
75,nav,5,9,0.019216390230116898,3.3081828961038524,5.546792454170175,4.721859584796138
75,nav,6,9,0.06498582552616583,6.504936054031121,5.6492540782575835,4.3093610230777575
75,nav,7,9,0.02531844965790908,3.88536071464925,5.968157016128445,4.528345036766333
75,nav,8,9,0.03201659119288369,4.374358823548655,6.177478496839989,4.670928556716118
75,nav,9,9,0.03825359243855497,4.777246080227082,6.498838175453424,4.545408870439585
75,nav,0,10,0.023082919941464386,4.192298494461799,4.680542472456936,4.108971004641175
75,nav,1,10,0.025472044246666825,3.7661540626629098,5.568909933540517,4.727099647399969
75,nav,2,10,0.022286755139397485,3.9132329560364627,4.9838329948949385,4.4039336870562895
